2026-04-11 08:38:22.2143 INFO App Application starting 
2026-04-17 13:27:25.6652 INFO App Application starting 
2026-04-17 13:27:52.0618 INFO App Application starting 
2026-04-17 13:27:57.1524 INFO App Application starting 
2026-05-11 11:00:56.2000 INFO App Application starting 
2026-05-11 11:13:33.2812 INFO App Application starting 
2026-05-11 11:13:35.3704 INFO DatabaseService Database initialized: C:\Users\User\source\repos\mindofsirius-design\NetworkMonitor\bin\Debug\data\history.db 
2026-05-11 11:15:28.9098 INFO MonitoringScheduler Scheduler stopped 
2026-05-11 11:15:28.9158 INFO App Application exiting 
2026-05-11 11:15:50.6020 INFO App Application starting 
2026-05-11 11:15:51.7150 INFO DatabaseService Database initialized: C:\Users\User\source\repos\mindofsirius-design\NetworkMonitor\bin\Debug\data\history.db 
2026-05-11 11:16:02.8760 INFO MonitoringScheduler Scheduler stopped 
2026-05-11 11:16:02.8760 INFO App Application exiting 
2026-05-11 11:33:02.7402 INFO App Application starting 
2026-05-11 11:33:04.2892 INFO DatabaseService Database initialized: C:\Users\User\source\repos\mindofsirius-design\NetworkMonitor\bin\Debug\data\history.db 
2026-05-11 11:33:42.8462 INFO MonitoringScheduler Scheduler stopped 
2026-05-12 10:25:36.4672 INFO PingModule Ping 123 (1.1.1.1): Online, 25ms 
2026-05-12 10:25:36.6192 INFO PingModule Ping 123 (1.1.1.1): Online, 27ms 
2026-05-12 10:25:36.7462 INFO PingModule Ping 123 (1.1.1.1): Online, 25ms 
2026-05-12 10:25:36.9272 INFO PingModule Ping 123 (1.1.1.1): Online, 37ms 
2026-05-12 10:25:37.0492 INFO PingModule Ping 123 (1.1.1.1): Online, 30ms 
2026-05-12 10:25:37.1832 INFO PingModule Ping 123 (1.1.1.1): Online, 27ms 
2026-05-12 10:25:37.3112 INFO PingModule Ping 123 (1.1.1.1): Online, 25ms 
2026-05-12 10:25:37.4612 INFO PingModule Ping 123 (1.1.1.1): Online, 27ms 
2026-05-12 10:25:37.6682 INFO PingModule Ping 123 (1.1.1.1): Online, 38ms 
2026-05-12 10:25:37.7882 INFO PingModule Ping 123 (1.1.1.1): Online, 36ms 
2026-05-12 10:25:37.9152 INFO PingModule Ping 123 (1.1.1.1): Online, 28ms 
2026-05-12 10:25:38.0562 INFO PingModule Ping 123 (1.1.1.1): Online, 30ms 
2026-05-12 10:25:38.1812 INFO PingModule Ping 123 (1.1.1.1): Online, 26ms 
2026-05-12 10:25:38.3382 INFO PingModule Ping 123 (1.1.1.1): Online, 30ms 
2026-05-12 10:25:38.4762 INFO PingModule Ping 123 (1.1.1.1): Online, 27ms 
2026-05-12 10:25:38.6132 INFO PingModule Ping 123 (1.1.1.1): Online, 27ms 
2026-05-12 10:25:38.7712 INFO PingModule Ping 123 (1.1.1.1): Online, 26ms 
